INFO 2018-06-10 15:36:44,216 54 id: 5b16ab49898e0a1465a2d575 updated coordinate
INFO 2018-06-10 15:36:44,219 54 id: 5b16ab49898e0a1465a2d576 updated coordinate
INFO 2018-06-10 15:36:44,226 54 id: 5b16ab49898e0a1465a2d577 updated coordinate
INFO 2018-06-10 15:36:44,230 54 id: 5b16ab49898e0a1465a2d578 updated coordinate
INFO 2018-06-10 15:36:44,233 54 id: 5b16ab49898e0a1465a2d579 updated coordinate
INFO 2018-06-10 15:36:44,236 54 id: 5b16ab49898e0a1465a2d57a updated coordinate
INFO 2018-06-10 15:36:44,394 54 id: 5b16ab4b898e0a1465a2d57b updated coordinate
INFO 2018-06-10 15:36:44,397 54 id: 5b16ab4b898e0a1465a2d57c updated coordinate
INFO 2018-06-10 15:36:44,398 54 id: 5b16ab4b898e0a1465a2d57d updated coordinate
INFO 2018-06-10 15:36:44,401 54 id: 5b16ab4b898e0a1465a2d57e updated coordinate
INFO 2018-06-10 15:36:44,403 54 id: 5b16ab4b898e0a1465a2d57f updated coordinate
INFO 2018-06-10 15:36:44,409 54 id: 5b16ab4b898e0a1465a2d580 updated coordinate
INFO 2018-06-10 15:36:44,413 54 id: 5b16ab4b898e0a1465a2d581 updated coordinate
INFO 2018-06-10 15:36:44,416 54 id: 5b16ab4b898e0a1465a2d582 updated coordinate
INFO 2018-06-10 15:36:44,419 54 id: 5b16ab4b898e0a1465a2d583 updated coordinate
INFO 2018-06-10 15:36:44,422 54 id: 5b16ab4b898e0a1465a2d584 updated coordinate
INFO 2018-06-10 15:36:44,586 41 id: 5b16ab4b898e0a1465a2d58c got wrong coordinate
INFO 2018-06-10 15:36:44,591 54 id: 5b16ab4b898e0a1465a2d585 updated coordinate
INFO 2018-06-10 15:36:44,592 54 id: 5b16ab4b898e0a1465a2d586 updated coordinate
INFO 2018-06-10 15:36:44,594 54 id: 5b16ab4b898e0a1465a2d587 updated coordinate
INFO 2018-06-10 15:36:44,596 54 id: 5b16ab4b898e0a1465a2d588 updated coordinate
INFO 2018-06-10 15:36:44,599 54 id: 5b16ab4b898e0a1465a2d589 updated coordinate
INFO 2018-06-10 15:36:44,602 54 id: 5b16ab4b898e0a1465a2d58a updated coordinate
INFO 2018-06-10 15:36:44,604 54 id: 5b16ab4b898e0a1465a2d58b updated coordinate
INFO 2018-06-10 15:36:44,606 54 id: 5b16ab4b898e0a1465a2d58d updated coordinate
INFO 2018-06-10 15:36:44,607 54 id: 5b16ab4b898e0a1465a2d58e updated coordinate
INFO 2018-06-10 15:36:44,756 41 id: 5b16ab4b898e0a1465a2d598 got wrong coordinate
INFO 2018-06-10 15:36:44,759 54 id: 5b16ab4b898e0a1465a2d58f updated coordinate
INFO 2018-06-10 15:36:44,761 54 id: 5b16ab4b898e0a1465a2d590 updated coordinate
INFO 2018-06-10 15:36:44,763 54 id: 5b16ab4b898e0a1465a2d591 updated coordinate
INFO 2018-06-10 15:36:44,765 54 id: 5b16ab4b898e0a1465a2d592 updated coordinate
INFO 2018-06-10 15:36:44,766 54 id: 5b16ab4b898e0a1465a2d593 updated coordinate
INFO 2018-06-10 15:36:44,775 54 id: 5b16ab4b898e0a1465a2d594 updated coordinate
INFO 2018-06-10 15:36:44,786 54 id: 5b16ab4b898e0a1465a2d595 updated coordinate
INFO 2018-06-10 15:36:44,788 54 id: 5b16ab4b898e0a1465a2d596 updated coordinate
INFO 2018-06-10 15:36:44,790 54 id: 5b16ab4b898e0a1465a2d597 updated coordinate
INFO 2018-06-10 15:36:44,950 54 id: 5b16ab4b898e0a1465a2d599 updated coordinate
INFO 2018-06-10 15:36:44,953 54 id: 5b16ab4b898e0a1465a2d59a updated coordinate
INFO 2018-06-10 15:36:44,955 54 id: 5b16ab4b898e0a1465a2d59b updated coordinate
INFO 2018-06-10 15:36:44,958 54 id: 5b16ab4b898e0a1465a2d59c updated coordinate
INFO 2018-06-10 15:36:44,960 54 id: 5b16ab4b898e0a1465a2d59d updated coordinate
INFO 2018-06-10 15:36:44,962 54 id: 5b16ab4b898e0a1465a2d59e updated coordinate
INFO 2018-06-10 15:36:44,964 54 id: 5b16ab4b898e0a1465a2d59f updated coordinate
INFO 2018-06-10 15:36:44,966 54 id: 5b16ab4b898e0a1465a2d5a0 updated coordinate
INFO 2018-06-10 15:36:44,968 54 id: 5b16ab4b898e0a1465a2d5a1 updated coordinate
INFO 2018-06-10 15:36:44,971 54 id: 5b16ab4b898e0a1465a2d5a2 updated coordinate
INFO 2018-06-10 15:36:45,271 54 id: 5b16ab4b898e0a1465a2d5a3 updated coordinate
INFO 2018-06-10 15:36:45,273 54 id: 5b16ab4b898e0a1465a2d5a4 updated coordinate
INFO 2018-06-10 15:36:45,275 54 id: 5b16ab4b898e0a1465a2d5a5 updated coordinate
INFO 2018-06-10 15:36:45,277 54 id: 5b16ab4b898e0a1465a2d5a6 updated coordinate
INFO 2018-06-10 15:36:45,279 54 id: 5b16ab4b898e0a1465a2d5a7 updated coordinate
INFO 2018-06-10 15:36:45,281 54 id: 5b16ab4b898e0a1465a2d5a8 updated coordinate
INFO 2018-06-10 15:36:45,283 54 id: 5b16ab4b898e0a1465a2d5a9 updated coordinate
INFO 2018-06-10 15:36:45,285 54 id: 5b16ab4b898e0a1465a2d5aa updated coordinate
INFO 2018-06-10 15:36:45,287 54 id: 5b16ab4b898e0a1465a2d5ab updated coordinate
INFO 2018-06-10 15:36:45,298 54 id: 5b16ab4b898e0a1465a2d5ac updated coordinate
INFO 2018-06-10 15:36:45,447 54 id: 5b16ab4b898e0a1465a2d5ad updated coordinate
INFO 2018-06-10 15:36:45,449 54 id: 5b16ab4b898e0a1465a2d5ae updated coordinate
INFO 2018-06-10 15:36:45,451 54 id: 5b16ab4b898e0a1465a2d5af updated coordinate
INFO 2018-06-10 15:36:45,454 54 id: 5b16ab4b898e0a1465a2d5b0 updated coordinate
INFO 2018-06-10 15:36:45,457 54 id: 5b16ab4b898e0a1465a2d5b1 updated coordinate
INFO 2018-06-10 15:36:45,459 54 id: 5b16ab4b898e0a1465a2d5b2 updated coordinate
INFO 2018-06-10 15:36:45,461 54 id: 5b16ab4b898e0a1465a2d5b3 updated coordinate
INFO 2018-06-10 15:36:45,463 54 id: 5b16ab4b898e0a1465a2d5b4 updated coordinate
INFO 2018-06-10 15:36:45,465 54 id: 5b16ab4b898e0a1465a2d5b5 updated coordinate
INFO 2018-06-10 15:36:45,467 54 id: 5b16ab4b898e0a1465a2d5b6 updated coordinate
INFO 2018-06-10 15:36:45,611 41 id: 5b16ab4d898e0a1465a2d5b9 got wrong coordinate
INFO 2018-06-10 15:36:45,621 54 id: 5b16ab4d898e0a1465a2d5b7 updated coordinate
INFO 2018-06-10 15:36:45,625 54 id: 5b16ab4d898e0a1465a2d5b8 updated coordinate
INFO 2018-06-10 15:36:45,629 54 id: 5b16ab4d898e0a1465a2d5ba updated coordinate
INFO 2018-06-10 15:36:45,632 54 id: 5b16ab4d898e0a1465a2d5bb updated coordinate
INFO 2018-06-10 15:36:45,634 54 id: 5b16ab4d898e0a1465a2d5bc updated coordinate
INFO 2018-06-10 15:36:45,639 54 id: 5b16ab4d898e0a1465a2d5bd updated coordinate
INFO 2018-06-10 15:36:45,643 54 id: 5b16ab4d898e0a1465a2d5be updated coordinate
INFO 2018-06-10 15:36:45,646 54 id: 5b16ab4d898e0a1465a2d5bf updated coordinate
INFO 2018-06-10 15:36:45,649 54 id: 5b16ab4d898e0a1465a2d5c0 updated coordinate
INFO 2018-06-10 15:36:45,818 54 id: 5b16ab4d898e0a1465a2d5c1 updated coordinate
INFO 2018-06-10 15:36:45,820 54 id: 5b16ab4d898e0a1465a2d5c2 updated coordinate
INFO 2018-06-10 15:36:45,827 54 id: 5b16ab4d898e0a1465a2d5c3 updated coordinate
INFO 2018-06-10 15:36:45,830 54 id: 5b16ab4d898e0a1465a2d5c4 updated coordinate
INFO 2018-06-10 15:36:45,833 54 id: 5b16ab4d898e0a1465a2d5c5 updated coordinate
INFO 2018-06-10 15:36:45,836 54 id: 5b16ab4d898e0a1465a2d5c6 updated coordinate
INFO 2018-06-10 15:36:45,838 54 id: 5b16ab4d898e0a1465a2d5c7 updated coordinate
INFO 2018-06-10 15:36:45,840 54 id: 5b16ab4d898e0a1465a2d5c8 updated coordinate
INFO 2018-06-10 15:36:45,843 54 id: 5b16ab4d898e0a1465a2d5c9 updated coordinate
INFO 2018-06-10 15:36:45,845 54 id: 5b16ab4d898e0a1465a2d5ca updated coordinate
INFO 2018-06-10 15:36:45,986 41 id: 5b16ab4d898e0a1465a2d5cb got wrong coordinate
INFO 2018-06-10 15:36:45,990 41 id: 5b16ab4d898e0a1465a2d5cf got wrong coordinate
INFO 2018-06-10 15:36:46,002 54 id: 5b16ab4d898e0a1465a2d5cc updated coordinate
INFO 2018-06-10 15:36:46,006 54 id: 5b16ab4d898e0a1465a2d5cd updated coordinate
INFO 2018-06-10 15:36:46,011 54 id: 5b16ab4d898e0a1465a2d5ce updated coordinate
INFO 2018-06-10 15:36:46,014 54 id: 5b16ab4d898e0a1465a2d5d0 updated coordinate
INFO 2018-06-10 15:36:46,017 54 id: 5b16ab4d898e0a1465a2d5d1 updated coordinate
INFO 2018-06-10 15:36:46,020 54 id: 5b16ab4d898e0a1465a2d5d2 updated coordinate
INFO 2018-06-10 15:36:46,030 54 id: 5b16ab4d898e0a1465a2d5d3 updated coordinate
INFO 2018-06-10 15:36:46,037 54 id: 5b16ab4d898e0a1465a2d5d4 updated coordinate
INFO 2018-06-10 15:36:46,187 38 id: 5b16ab4d898e0a1465a2d5d6 got wrong coordinate
INFO 2018-06-10 15:36:46,194 54 id: 5b16ab4d898e0a1465a2d5d5 updated coordinate
INFO 2018-06-10 15:36:46,196 54 id: 5b16ab4d898e0a1465a2d5d7 updated coordinate
INFO 2018-06-10 15:36:46,198 54 id: 5b16ab4d898e0a1465a2d5d8 updated coordinate
INFO 2018-06-10 15:36:46,200 54 id: 5b16ab4d898e0a1465a2d5d9 updated coordinate
INFO 2018-06-10 15:36:46,202 54 id: 5b16ab4d898e0a1465a2d5da updated coordinate
INFO 2018-06-10 15:36:46,204 54 id: 5b16ab4d898e0a1465a2d5db updated coordinate
INFO 2018-06-10 15:36:46,205 54 id: 5b16ab4d898e0a1465a2d5dc updated coordinate
INFO 2018-06-10 15:36:46,207 54 id: 5b16ab4d898e0a1465a2d5dd updated coordinate
INFO 2018-06-10 15:36:46,209 54 id: 5b16ab4d898e0a1465a2d5de updated coordinate
INFO 2018-06-10 15:36:46,354 54 id: 5b16ab4d898e0a1465a2d5df updated coordinate
INFO 2018-06-10 15:36:46,357 54 id: 5b16ab4d898e0a1465a2d5e0 updated coordinate
INFO 2018-06-10 15:36:46,359 54 id: 5b16ab4d898e0a1465a2d5e1 updated coordinate
INFO 2018-06-10 15:36:46,363 54 id: 5b16ab4d898e0a1465a2d5e2 updated coordinate
INFO 2018-06-10 15:36:46,367 54 id: 5b16ab4d898e0a1465a2d5e3 updated coordinate
INFO 2018-06-10 15:36:46,374 54 id: 5b16ab4d898e0a1465a2d5e4 updated coordinate
INFO 2018-06-10 15:36:46,378 54 id: 5b16ab4d898e0a1465a2d5e5 updated coordinate
INFO 2018-06-10 15:36:46,381 54 id: 5b16ab4d898e0a1465a2d5e6 updated coordinate
INFO 2018-06-10 15:36:46,390 54 id: 5b16ab4d898e0a1465a2d5e7 updated coordinate
INFO 2018-06-10 15:36:46,394 54 id: 5b16ab4d898e0a1465a2d5e8 updated coordinate
INFO 2018-06-10 15:36:46,562 41 id: 5b16ab4d898e0a1465a2d5f2 got wrong coordinate
INFO 2018-06-10 15:36:46,573 54 id: 5b16ab4d898e0a1465a2d5e9 updated coordinate
INFO 2018-06-10 15:36:46,581 54 id: 5b16ab4d898e0a1465a2d5ea updated coordinate
INFO 2018-06-10 15:36:46,590 54 id: 5b16ab4d898e0a1465a2d5eb updated coordinate
INFO 2018-06-10 15:36:46,597 54 id: 5b16ab4d898e0a1465a2d5ec updated coordinate
INFO 2018-06-10 15:36:46,600 54 id: 5b16ab4d898e0a1465a2d5ed updated coordinate
INFO 2018-06-10 15:36:46,602 54 id: 5b16ab4d898e0a1465a2d5ee updated coordinate
INFO 2018-06-10 15:36:46,606 54 id: 5b16ab4d898e0a1465a2d5ef updated coordinate
INFO 2018-06-10 15:36:46,608 54 id: 5b16ab4d898e0a1465a2d5f0 updated coordinate
INFO 2018-06-10 15:36:46,612 54 id: 5b16ab4d898e0a1465a2d5f1 updated coordinate
INFO 2018-06-10 15:36:46,749 41 id: 5b16ab4f898e0a1465a2d5fb got wrong coordinate
INFO 2018-06-10 15:36:46,754 54 id: 5b16ab4f898e0a1465a2d5f3 updated coordinate
INFO 2018-06-10 15:36:46,756 54 id: 5b16ab4f898e0a1465a2d5f4 updated coordinate
INFO 2018-06-10 15:36:46,758 54 id: 5b16ab4f898e0a1465a2d5f5 updated coordinate
INFO 2018-06-10 15:36:46,761 54 id: 5b16ab4f898e0a1465a2d5f6 updated coordinate
INFO 2018-06-10 15:36:46,763 54 id: 5b16ab4f898e0a1465a2d5f7 updated coordinate
INFO 2018-06-10 15:36:46,766 54 id: 5b16ab4f898e0a1465a2d5f8 updated coordinate
INFO 2018-06-10 15:36:46,768 54 id: 5b16ab4f898e0a1465a2d5f9 updated coordinate
INFO 2018-06-10 15:36:46,771 54 id: 5b16ab4f898e0a1465a2d5fa updated coordinate
INFO 2018-06-10 15:36:46,772 54 id: 5b16ab4f898e0a1465a2d5fc updated coordinate
INFO 2018-06-10 15:36:46,911 41 id: 5b16ab4f898e0a1465a2d601 got wrong coordinate
INFO 2018-06-10 15:36:46,918 41 id: 5b16ab4f898e0a1465a2d604 got wrong coordinate
INFO 2018-06-10 15:36:46,925 54 id: 5b16ab4f898e0a1465a2d5fd updated coordinate
