,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:25:32.068442,龙岗,6/18层,文雅豪庭蛋壳公寓直租  通勤便利 房价透明,https://sz.zu.anjuke.com/fangyuan/1161422558,1680,布吉,3/5号线,https://pic1.ajkimg.com/display/hj/c8754a5340419b415b2eda2bd4eaae6c/240x180m.jpg?t=1,朝东,文雅豪庭,20平米,https://shenzhen.anjuke.com/community/view/96614,合租,5b16ab6c898e0a1465a2d927,3室1厅,布龙路27号
1,元/月,2018-06-05 23:25:32.078509,南山,21/23层,雅丽阁蛋壳公寓直租 免费WiFi 环境优美 押一付一,https://sz.zu.anjuke.com/fangyuan/1163506548,1410,西丽,5/7号线,https://pic1.ajkimg.com/display/hj/699630fe8594866b634f7679b4873d3c/240x180m.jpg?t=1,朝东,雅丽阁,15平米,https://shenzhen.anjuke.com/community/view/95599,合租,5b16ab6c898e0a1465a2d928,3室1厅,西丽南路70号
2,元/月,2018-06-05 23:25:32.082998,龙岗,12/19层,鹏达花园 良心房东 免费WiFi 拎包入住 无中介 龙岗中心,https://sz.zu.anjuke.com/fangyuan/1160534739,1830,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/b3a5a21cbffdbe73848f8913c81b8aa7/240x180m.jpg?t=1,朝东,鹏达花园,22平米,https://shenzhen.anjuke.com/community/view/96564,合租,5b16ab6c898e0a1465a2d929,3室1厅,碧新路2059号
3,元/月,2018-06-05 23:25:32.089233,龙岗,10/15层,睿智华庭  直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159065705,1300,大运,Null,https://pic1.ajkimg.com/display/hj/de88ae771f9743acb7164dc63d894ccd/240x180m.jpg?t=1,朝南,睿智华庭,13平米,https://shenzhen.anjuke.com/community/view/349095,合租,5b16ab6c898e0a1465a2d92a,3室1厅,如意路
4,元/月,2018-06-05 23:25:32.093824,福田,11/23层,建业大厦 免费WiFi 紧邻地铁站 押一付一 农科中心,https://sz.zu.anjuke.com/fangyuan/1160225706,1530,农科中心,1/7/9/11号线,https://pic1.ajkimg.com/display/hj/85ce18eef33b035a975ed59a455a9e76/240x180m.jpg?t=1,朝东,采曦庭,17平米,https://shenzhen.anjuke.com/community/view/842383,合租,5b16ab6c898e0a1465a2d92b,3室1厅,农林路7号
5,元/月,2018-06-05 23:25:32.099335,罗湖,16/23层,城市天地广场 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1155684810,1550,国贸,1/2/3/9号线,https://pic1.ajkimg.com/display/hj/14423a1a73dd897681487f7af91af520/240x180m.jpg?t=1,朝南,城市天地广场,14平米,https://shenzhen.anjuke.com/community/view/96850,合租,5b16ab6c898e0a1465a2d92c,3室1厅,嘉宾路4055号
6,元/月,2018-06-05 23:25:32.104085,龙华,23/31层,水榭春天大三房 全新装修设计 朝南看花园 家私齐全 拎包入住,https://sz.zu.anjuke.com/fangyuan/1163352701,6500,民治,4号线,https://pic1.ajkimg.com/display/hj/6f8b382b3fa7a5bc480c2bfd3cdfaeec/240x180m.jpg?t=1,朝南,莱蒙水榭春天一二三期,120平米,https://shenzhen.anjuke.com/community/view/204644,整租,5b16ab6c898e0a1465a2d92d,3室2厅,人民路
7,元/月,2018-06-05 23:25:32.108480,福田,6/17层,景发花园  立减2200元 公寓直租 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1158214295,1900,景田,1/2/9号线,https://pic1.ajkimg.com/display/hj/f6cf237a1bb26e9d13664ed17bc80fa5/240x180m.jpg?t=1,朝南,景发花园,17平米,https://shenzhen.anjuke.com/community/view/95980,合租,5b16ab6c898e0a1465a2d92e,2室1厅,莲花路2077号
8,元/月,2018-06-05 23:25:32.112733,罗湖,13/20层,京基凤凰印象蛋壳公寓直租 智能门锁 值得信赖 无中介,https://sz.zu.anjuke.com/fangyuan/1161519229,1930,怡景,2/5/9号线,https://pic1.ajkimg.com/display/hj/ca6b6b8c39baff9feb957e57779a365e/240x180m.jpg?t=1,朝东,京基凤凰印象,21平米,https://shenzhen.anjuke.com/community/view/910771,合租,5b16ab6c898e0a1465a2d92f,3室1厅,凤凰路181号
9,元/月,2018-06-05 23:25:32.116926,龙岗,10/22层,远洋新干线 室友无不良嗜好 免费WiFi 交通便利  龙岗中,https://sz.zu.anjuke.com/fangyuan/1159898950,1540,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/02289719ee143391b9f4f31ae0f616ec/240x180m.jpg?t=1,朝东,远洋新干线(二期),18平米,https://shenzhen.anjuke.com/community/view/545918,合租,5b16ab6c898e0a1465a2d930,3室1厅,刘屋路
10,元/月,2018-06-05 23:25:32.121908,南山,12/26层,中海深圳湾畔花园 蛋壳公寓直租 拎包入住  立减800元,https://sz.zu.anjuke.com/fangyuan/1157123737,1680,华侨城,1/2号线,https://pic1.ajkimg.com/display/hj/860481b9f088ef7255110ef620c3a394/240x180m.jpg?t=1,朝南,中海深圳湾畔花园,14平米,https://shenzhen.anjuke.com/community/view/95429,合租,5b16ab6c898e0a1465a2d931,3室1厅,沙河东路186号
11,元/月,2018-06-05 23:25:32.126180,福田,17/22层,南溪新苑 房源 家具齐全 紧邻地铁站 押一付一 新洲,https://sz.zu.anjuke.com/fangyuan/1161781551,2270,新洲,3/7号线,https://pic1.ajkimg.com/display/hj/6c4687983f383acaed7f7c4b7595e9c3/240x180m.jpg?t=1,朝南,南溪新苑,28平米,https://shenzhen.anjuke.com/community/view/130731,整租,5b16ab6c898e0a1465a2d932,1室1厅,新洲二街59号
12,元/月,2018-06-05 23:25:32.130613,南山,7/19层,东方美地苑 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1153684647,2000,南头,1号线,https://pic1.ajkimg.com/display/hj/c830cb3ddb1f20efe4ebf1d1b0a3f6f6/240x180m.jpg?t=1,朝南,东方美地苑,19平米,https://shenzhen.anjuke.com/community/view/95410,合租,5b16ab6c898e0a1465a2d933,3室1厅,红花路
13,元/月,2018-06-05 23:25:32.135870,南山,14/15层,蔚蓝海岸直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159195985,2000,后海,2/11号线,https://pic1.ajkimg.com/display/hj/14423a1a73dd897681487f7af91af520/240x180m.jpg?t=1,朝南,蔚蓝海岸(二期),16平米,https://shenzhen.anjuke.com/community/view/115345,合租,5b16ab6c898e0a1465a2d934,4室1厅,登良路
14,元/月,2018-06-05 23:25:32.140220,福田,5/15层,嘉鑫阳光雅居 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1158537688,2100,景田,2/9号线,https://pic1.ajkimg.com/display/hj/327be855e44dc7507f2065f407b7db1b/240x180m.jpg?t=1,朝南,华盛领寓,17平米,https://shenzhen.anjuke.com/community/view/97872,合租,5b16ab6c898e0a1465a2d935,3室1厅,北环大道7039号
15,元/月,2018-06-05 23:25:32.144465,龙岗,10/22层,新塘坑村小区 室友无不良嗜好 家具家电全 交通便利 横岗,https://sz.zu.anjuke.com/fangyuan/1160534212,1500,横岗,3号线,https://pic1.ajkimg.com/display/hj/41280f092e6c5d384ef07725e040ee74/240x180m.jpg?t=1,朝东,新塘坑村小区,19平米,https://shenzhen.anjuke.com/community/view/844375,合租,5b16ab6c898e0a1465a2d936,3室1厅,新塘坑路
16,元/月,2018-06-05 23:25:32.148748,龙岗,21/33层,金地龙城中央  小二房,https://sz.zu.anjuke.com/fangyuan/1163471406,2500,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/5a800a98636ce314a80c0457e4a0c69d/240x180m.jpg?t=1,朝北,金地龙城中央,42平米,https://shenzhen.anjuke.com/community/view/782665,整租,5b16ab6c898e0a1465a2d937,1室1厅,龙城大道
17,元/月,2018-06-05 23:25:32.153240,福田,10/20层,汇龙花园 蛋壳公寓直租 押一付一 拎包入住 立减2300元,https://sz.zu.anjuke.com/fangyuan/1157123706,2890,梅林,4/9号线,https://pic1.ajkimg.com/display/hj/f4e66ffca41b016088d4c476af6d0fef/240x180m.jpg?t=1,东南,汇龙花园,25平米,https://shenzhen.anjuke.com/community/view/95968,整租,5b16ab6c898e0a1465a2d938,1室0厅,凯丰路
18,元/月,2018-06-05 23:25:32.157801,龙华,9/32层,玖龙玺4号线白石龙站对万科金域华府紧挨星河盛世，南北双阳台,https://sz.zu.anjuke.com/fangyuan/1163141006,7800,梅林关口,4号线,https://pic1.ajkimg.com/display/hj/ccfeab1c027891a9f8ccc97780b4758c/240x180m.jpg?t=1,南北,龙光玖龙玺,89平米,https://shenzhen.anjuke.com/community/view/767076,整租,5b16ab6c898e0a1465a2d939,4室2厅,新区大道
