,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:25:51.239450,福田,7/19层,康欣园  直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1157513379,2000,景田,2/9号线,https://pic1.ajkimg.com/display/hj/c830cb3ddb1f20efe4ebf1d1b0a3f6f6/240x180m.jpg?t=1,朝南,康欣园,16平米,https://shenzhen.anjuke.com/community/view/96028,合租,5b16ab7f898e0a1465a2db1b,3室1厅,景田西路15号
1,元/月,2018-06-05 23:25:51.243826,宝安,12/19层,都市翠海华苑蛋壳公寓直租 双周保洁 值得信赖 押一付一,https://sz.zu.anjuke.com/fangyuan/1161520853,1910,新安,5号线,https://pic1.ajkimg.com/display/hj/05fff727f665fb399b0dd6dae030e18a/240x180m.jpg?t=1,朝东,都市翠海华苑,24平米,https://shenzhen.anjuke.com/community/view/844338,合租,5b16ab7f898e0a1465a2db1c,3室1厅,创业二路100号
2,元/月,2018-06-05 23:25:51.248752,深圳周边,11/23层,天悦龙庭蛋壳公寓直租 智能门锁 通勤便利 月付无压力,https://sz.zu.anjuke.com/fangyuan/1162628465,1670,惠州,Null,https://pic1.ajkimg.com/display/hj/a3b3e75aac8f1e6d9dd84eb78ec20742/240x180m.jpg?t=1,朝东,天悦龙庭,17平米,https://shenzhen.anjuke.com/community/view/490062,合租,5b16ab7f898e0a1465a2db1d,3室1厅,中兴北路198号
3,元/月,2018-06-05 23:25:51.253600,罗湖,16/18层,淘金山蛋壳公寓直租 双周保洁 随时看房 月付无压力,https://sz.zu.anjuke.com/fangyuan/1161344830,1350,布心,5号线,https://pic1.ajkimg.com/display/hj/2e736a91aaeb764334cfba939c7cd800/240x180m.jpg?t=1,朝东,淘金山,17平米,https://shenzhen.anjuke.com/community/view/98197,合租,5b16ab7f898e0a1465a2db1e,3室1厅,翠荫路
4,元/月,2018-06-05 23:25:51.263694,福田,16/26层,俊景豪园  直租 押一付一 拎包入住 立减2200元,https://sz.zu.anjuke.com/fangyuan/1156400095,2600,景田,2/9号线,https://pic1.ajkimg.com/display/hj/144c2b9a213a8405a0c884bda17f2272/240x180m.jpg?t=1,西南,俊景豪园,19平米,https://shenzhen.anjuke.com/community/view/96271,合租,5b16ab7f898e0a1465a2db1f,3室1厅,香梅路2002号
5,元/月,2018-06-05 23:25:51.268903,福田,16/28层,黄埔雅苑.精装两房，整洁干净，家电全齐，物超所值，您值得拥有,https://sz.zu.anjuke.com/fangyuan/1162453359,8500,莲花,2/3/4/11号线,https://pic1.ajkimg.com/display/hj/82f489d16aaa9af20c74b59cda335863/240x180m.jpg?t=1,朝南,黄埔雅苑乐悠园(黄埔雅苑三期),85平米,https://shenzhen.anjuke.com/community/view/843060,整租,5b16ab7f898e0a1465a2db20,2室2厅,福中路315号
6,元/月,2018-06-05 23:25:51.276361,龙岗,19/25层,和成世纪名园 蛋壳公寓直租 押一付一 1824 家具齐全,https://sz.zu.anjuke.com/fangyuan/1160539572,1824,坂田,5号线,https://pic1.ajkimg.com/display/hj/e0df52ecc137842eaeb9acc03dd18151/240x180m.jpg?t=1,朝东,和成世纪名园,18平米,https://shenzhen.anjuke.com/community/view/534009,合租,5b16ab7f898e0a1465a2db21,3室1厅,五和大道
7,元/月,2018-06-05 23:25:51.280921,龙华,15/20层,锦绣江南 房源真实 家具齐全 紧邻地铁站 没有*民治,https://sz.zu.anjuke.com/fangyuan/1161712874,2210,民治,Null,https://pic1.ajkimg.com/display/hj/306d40a01742aeafd66b0f6fd4b8c433/240x180m.jpg?t=1,朝南,锦绣江南,25平米,https://shenzhen.anjuke.com/community/view/95199,整租,5b16ab7f898e0a1465a2db22,1室1厅,人民路
8,元/月,2018-06-05 23:25:51.286572,宝安,13/23层,近桥头地铁站，精美温馨小屋，家私家电齐全，拎包入住,https://sz.zu.anjuke.com/fangyuan/1162833256,1380,福永,11号线,https://pic1.ajkimg.com/display/hj/b0b22563879fea35fed48e74a823dbbd/240x180m.jpg?t=1,朝南,鸿德园,36平米,https://shenzhen.anjuke.com/community/view/609003,整租,5b16ab7f898e0a1465a2db23,1室0厅,桥和路
9,元/月,2018-06-05 23:25:51.292461,南山,7/20层,蛇口统建楼 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159191532,2100,蛇口,2号线,https://pic1.ajkimg.com/display/hj/2b66d0aa04648ce85e2a72f58ec93ead/240x180m.jpg?t=1,朝南,南水花园,17平米,https://shenzhen.anjuke.com/community/view/264620,合租,5b16ab7f898e0a1465a2db24,3室1厅,南水步行街204号
