,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:29:14.546070,宝安,6/18层,宝安中心区地铁口 门口大商场、学校 精装两房带家私家电,https://sz.zu.anjuke.com/fangyuan/1163520672,5800,宝安中心,1/5/11号线,https://pic1.ajkimg.com/display/hj/90d3e359dbb45ee2eaa7a33019ae5e9d/240x180m.jpg?t=1,东南,丽晶国际,76平米,https://shenzhen.anjuke.com/community/view/95007,整租,5b16ac4a898e0a1465a2f097,2室2厅,创业一路1006号
1,元/月,2018-06-05 23:29:14.553261,龙岗,6/18层,龙岗中心城 室友无不良嗜好 免费WiFi 紧邻地铁站 可月付,https://sz.zu.anjuke.com/fangyuan/1160846420,1690,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/028fc2ecb8d511cbce45a3f2984299e1/240x180m.jpg?t=1,朝东,满京华喜悦里华庭,20平米,https://shenzhen.anjuke.com/community/view/370724,合租,5b16ac4a898e0a1465a2f098,3室1厅,碧新路
2,元/月,2018-06-05 23:29:14.558661,龙岗,24/29层,荔枝花园 蛋壳公寓直租 双周保洁 通勤便利 房价透明 豪装,https://sz.zu.anjuke.com/fangyuan/1159541258,1284,丹竹头,3号线,https://pic1.ajkimg.com/display/hj/e353e5d515b80d55711dd10b832f9fe8/240x180m.jpg?t=1,朝东,荔枝花园,14平米,https://shenzhen.anjuke.com/community/view/179647,合租,5b16ac4a898e0a1465a2f099,3室1厅,南岭西路
3,元/月,2018-06-05 23:29:14.563443,福田,13/18层,福田大社区 梅林一村 3房2卫 全齐出租 位置安静,https://sz.zu.anjuke.com/fangyuan/1163350579,6800,梅林,9号线,https://pic1.ajkimg.com/display/hj/c782d68dbbb62573d85ec6a1dc9a65e9/240x180m.jpg?t=1,朝北,梅林一村,98平米,https://shenzhen.anjuke.com/community/view/95949,整租,5b16ac4a898e0a1465a2f09a,3室2厅,梅林路142号
4,元/月,2018-06-05 23:29:14.568452,龙岗,9/49层,佳兆业城市广场朝南看小区花园 近天安云谷 有钥匙 随时看房,https://sz.zu.anjuke.com/fangyuan/1163075116,4900,坂田,Null,https://pic1.ajkimg.com/display/hj/6d6dd09bf4df0615dc916455b9a89478/240x180m.jpg?t=1,东南,佳兆业城市广场,89平米,https://shenzhen.anjuke.com/community/view/542230,整租,5b16ac4a898e0a1465a2f09b,3室2厅,坂雪岗大道1166号
5,元/月,2018-06-05 23:29:14.576856,福田,17/22层,免费WiFi 紧邻地铁站 可月付 莲花,https://sz.zu.anjuke.com/fangyuan/1161783633,2120,莲花,2/3/4号线,https://pic1.ajkimg.com/display/hj/0577166df27935df2060c19dd0974d9d/240x180m.jpg?t=1,朝西,中银花园,27平米,https://shenzhen.anjuke.com/community/view/96214,整租,5b16ac4a898e0a1465a2f09c,1室1厅,福中一路1006号
6,元/月,2018-06-05 23:29:14.581614,罗湖,9/21层,青湖山庄蛋壳公寓直租 家具齐全 环境优美 无中介,https://sz.zu.anjuke.com/fangyuan/1161412886,1530,泥岗,3号线,https://pic1.ajkimg.com/display/hj/3bbaf64ea6d8724e1e529228277cd3eb/240x180m.jpg?t=1,朝东,青湖山庄,19平米,https://shenzhen.anjuke.com/community/view/96954,合租,5b16ac4a898e0a1465a2f09d,3室1厅,红岗路1249号
7,元/月,2018-06-05 23:29:14.587160,福田,7/8层,"万科城市花园,精装大五房,小高层，欧式城堡建筑，带车位",https://sz.zu.anjuke.com/fangyuan/1159287427,13000,景田,2/9号线,https://pic1.ajkimg.com/display/hj/af35eabdbb90b3c99e8ef0cfbe0354b0/240x180m.jpg?t=1,南北,万科城市花园,150平米,https://shenzhen.anjuke.com/community/view/121823,整租,5b16ac4a898e0a1465a2f09e,5室2厅,香梅路2038号
8,元/月,2018-06-05 23:29:14.593351,南山,21/23层,珠光苑蛋壳公寓直租  干净整洁 押一付一,https://sz.zu.anjuke.com/fangyuan/1161425125,1370,西丽,5/7号线,https://pic1.ajkimg.com/display/hj/7fbafcce07c0453a7d3984354ede1e88/240x180m.jpg?t=1,朝东,珠光苑,15平米,https://shenzhen.anjuke.com/community/view/95624,合租,5b16ac4a898e0a1465a2f09f,3室1厅,西丽南支路61号
9,元/月,2018-06-05 23:29:14.598104,龙岗,9/21层,万科红 良心房东 免费WiFi 交通便利  布吉,https://sz.zu.anjuke.com/fangyuan/1162093419,1760,布吉,3/5号线,https://pic1.ajkimg.com/display/hj/8e9b5c238bbeed2a156e4d1e2764d78d/240x180m.jpg?t=1,朝东,万科红(二期),17平米,https://shenzhen.anjuke.com/community/view/401414,合租,5b16ac4a898e0a1465a2f0a0,3室1厅,锦龙路
10,元/月,2018-06-05 23:29:14.602832,南山,10/22层,福临苑 免费WiFi 紧邻地铁站 可月付 南油,https://sz.zu.anjuke.com/fangyuan/1162104174,1760,南山中心,1/11号线,https://pic1.ajkimg.com/display/hj/e37638dbd3165e413cc4a70e58ae8e02/240x180m.jpg?t=1,朝东,福临苑,20平米,https://shenzhen.anjuke.com/community/view/95465,合租,5b16ac4a898e0a1465a2f0a1,3室1厅,南山大道2019号
11,元/月,2018-06-05 23:29:14.607825,罗湖,10/22层,翡翠公寓 良心房东 免费WiFi 拎包入住 无中介 田贝,https://sz.zu.anjuke.com/fangyuan/1160534727,1815,田贝,3/7号线,https://pic1.ajkimg.com/display/hj/3e5c8491c412622d27f0462d40ec0e6b/240x180m.jpg?t=1,朝东,翡翠公寓,20平米,https://shenzhen.anjuke.com/community/view/443896,合租,5b16ac4a898e0a1465a2f0a2,3室1厅,文锦北路
12,元/月,2018-06-05 23:29:14.612745,南山,16/21层,汇宾广场  返现1000 蛋壳公寓直租 押一付一 拎包入住,https://sz.zu.anjuke.com/fangyuan/1160847673,2000,南油,Null,https://pic1.ajkimg.com/display/hj/24544601eb41ddbe04b2642d3fe06732/240x180m.jpg?t=1,朝南,汇宾广场,16平米,https://shenzhen.anjuke.com/community/view/97674,合租,5b16ac4a898e0a1465a2f0a3,3室1厅,东滨路4325号
13,元/月,2018-06-05 23:29:14.618497,龙岗,5/17层,中南明珠苑蛋壳公寓直租  环境优美 无中介,https://sz.zu.anjuke.com/fangyuan/1163520681,1600,布吉,5号线,https://pic1.ajkimg.com/display/hj/046a85e9b2058a74dec5a0204a9c90dd/240x180m.jpg?t=1,朝东,中南明珠苑,18平米,https://shenzhen.anjuke.com/community/view/785291,合租,5b16ac4a898e0a1465a2f0a4,3室1厅,吉华路240号
14,元/月,2018-06-05 23:29:16.373078,宝安,17/19层,宝安机场 室友无不良嗜好 免费WiFi 紧邻地铁站 可月付,https://sz.zu.anjuke.com/fangyuan/1163539140,1310,宝安机场,Null,https://pic1.ajkimg.com/display/hj/f4b4766a23839f50fa05235e47e2589f/240x180m.jpg?t=1,朝东,万福人家三期(天欣花园三期),18平米,https://shenzhen.anjuke.com/community/view/120030,合租,5b16ac4c898e0a1465a2f0a5,3室1厅,政丰南路
15,元/月,2018-06-05 23:29:16.378292,宝安,18/27层,里仁府 高端花园小区 大三房 临近地铁1号线 宝体旁,https://sz.zu.anjuke.com/fangyuan/1163573571,5800,宝安中心,1/5/11号线,https://pic1.ajkimg.com/display/hj/40f9a72b5352033bdc8122d438d38032/240x180m.jpg?t=1,西南,里仁府,120平米,https://shenzhen.anjuke.com/community/view/95105,整租,5b16ac4c898e0a1465a2f0a6,3室2厅,宝安大道
