,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:27:42.108353,龙岗,13/20层,佳兆业大都汇  南北通透 无中介 房价透明 素质室友 布吉,https://sz.zu.anjuke.com/fangyuan/1163538101,1860,布吉,3/5号线,https://pic1.ajkimg.com/display/hj/4192caa6aa24a6aa16d611c5cac8ea15/240x180m.jpg?t=1,朝东,佳兆业大都汇,20平米,https://shenzhen.anjuke.com/community/view/349211,合租,5b16abee898e0a1465a2e6d3,3室1厅,龙岗大道
1,元/月,2018-06-05 23:27:42.112641,罗湖,17/19层,莲塘花园  近地铁站 押一付一 房价透明 素质室友 莲塘,https://sz.zu.anjuke.com/fangyuan/1162137079,1490,莲塘,Null,https://pic1.ajkimg.com/display/hj/1faf1a04039455697fd1dbc3e81d2c09/240x180m.jpg?t=1,朝东,莲塘花园,16平米,https://shenzhen.anjuke.com/community/view/244188,合租,5b16abee898e0a1465a2e6d4,3室1厅,聚福路
2,元/月,2018-06-05 23:27:42.118170,龙岗,19/34层,精装大3房，通透户型，带大阳台，生活配套成熟，拎包入住。,https://sz.zu.anjuke.com/fangyuan/1161729523,3500,平湖,Null,https://pic1.ajkimg.com/display/hj/fadf261ae002eee5f88042b7c66e5cab/240x180m.jpg?t=1,南北,坤宜福苑,88平米,https://shenzhen.anjuke.com/community/view/911126,整租,5b16abee898e0a1465a2e6d5,3室2厅,凤凰大道
3,元/月,2018-06-05 23:27:42.122856,南山,6/18层,靠近南海大道 家私电齐全，拎包入住 看房随时方便，,https://sz.zu.anjuke.com/fangyuan/1160514916,3000,南头,1号线,https://pic1.ajkimg.com/display/hj/e6e94682692cd0d9c0bd3c6b72aa5bf6/240x180m.jpg?t=1,东南,鸿洲新都,32平米,https://shenzhen.anjuke.com/community/view/95421,整租,5b16abee898e0a1465a2e6d6,1室0厅,南新路3185号
4,元/月,2018-06-05 23:27:42.127238,深圳周边,10/22层,左庭右院蛋壳公寓直租  环境优美 性价比高,https://sz.zu.anjuke.com/fangyuan/1161430369,1510,东莞,Null,https://pic1.ajkimg.com/display/hj/34489859b36ebaaa8f9f4b6176af0500/240x180m.jpg?t=1,朝东,黄旗山1号,20平米,https://shenzhen.anjuke.com/community/view/901553,合租,5b16abee898e0a1465a2e6d7,3室1厅,石井支路
5,元/月,2018-06-05 23:27:42.132819,宝安,7/12层,福永镇中心万福人家家私家电齐全住家舒适小区环境好交通便捷,https://sz.zu.anjuke.com/fangyuan/1163533983,1500,宝安机场,Null,https://pic1.ajkimg.com/display/hj/274eaf36b42dca3fc0bb7723976e5aef/240x180m.jpg?t=1,朝南,万福人家三期(天欣花园三期),47平米,https://shenzhen.anjuke.com/community/view/120030,整租,5b16abee898e0a1465a2e6d8,1室1厅,政丰南路
6,元/月,2018-06-05 23:27:42.138967,龙岗,19/21层,万科紫悦山蛋壳公寓直租 智能门锁 环境优美 房价透明,https://sz.zu.anjuke.com/fangyuan/1161338127,1000,坂田,5号线,https://pic1.ajkimg.com/display/hj/5c20813bdc642dd4ffa4f142dfcb7231/240x180m.jpg?t=1,朝东,万科紫悦山,16平米,https://shenzhen.anjuke.com/community/view/650627,合租,5b16abee898e0a1465a2e6d9,3室1厅,坂雪岗大道
7,元/月,2018-06-05 23:27:42.143616,龙岗,19/21层,振业天峦  家具家电全 拎包入住可月付 龙岗中心城,https://sz.zu.anjuke.com/fangyuan/1160539664,1000,龙岗中心城,Null,https://pic1.ajkimg.com/display/hj/223d38c03a945b1798c281d62b0d31bf/240x180m.jpg?t=1,朝东,振业天峦,16平米,https://shenzhen.anjuke.com/community/view/623529,合租,5b16abee898e0a1465a2e6da,3室1厅,宝沙一路1号
8,元/月,2018-06-05 23:27:42.148110,龙岗,20/22层,中兴路18号小区  客厅开阔 无中介 房价透明 双周保洁 坂,https://sz.zu.anjuke.com/fangyuan/1162097140,1380,坂田,5号线,https://pic1.ajkimg.com/display/hj/834ea04c84e434a0f80ac7e8b4bf752f/240x180m.jpg?t=1,朝东,中兴路18号小区,17平米,https://shenzhen.anjuke.com/community/view/1022422,合租,5b16abee898e0a1465a2e6db,3室1厅,中兴路18号
9,元/月,2018-06-05 23:27:42.153152,南山,11/12层,地铁口  2室2厅 看房方便 随时起租,https://sz.zu.anjuke.com/fangyuan/1163355079,6400,南山中心,1/11号线,https://pic1.ajkimg.com/display/hj/d735db1580f4a9aafefcd91c2da677f0/240x180m.jpg?t=1,东南,万象新园,62平米,https://shenzhen.anjuke.com/community/view/95400,整租,5b16abee898e0a1465a2e6dc,2室2厅,南光路67号
