,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:30:51.160556,南山,9/20层,海湾花园 直租立减1000  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1158216650,2100,蛇口,2号线,https://pic1.ajkimg.com/display/hj/7fe662fc9e1789599eba6950f7698c15/240x180m.jpg?t=1,朝南,海湾花园,17平米,https://shenzhen.anjuke.com/community/view/842818,合租,5b16acab898e0a1465a2fa5b,3室1厅,海昌街3号
1,元/月,2018-06-05 23:30:51.165127,南山,10/22层,大冲都市花园蛋壳公寓直租 双周保洁 环境优美 房价透明,https://sz.zu.anjuke.com/fangyuan/1162629717,1780,科技园,1号线,https://pic1.ajkimg.com/display/hj/cdedfb56f13d2ab2c04763aa8ab2038c/240x180m.jpg?t=1,朝东,大冲都市花园,17平米,https://shenzhen.anjuke.com/community/view/790585,合租,5b16acab898e0a1465a2fa5c,3室1厅,铜鼓路
2,元/月,2018-06-05 23:30:51.171437,龙岗,7/26层,佳兆业可园四期 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159540062,2000,布吉,3/5号线,https://pic1.ajkimg.com/display/hj/2b66d0aa04648ce85e2a72f58ec93ead/240x180m.jpg?t=1,朝南,佳兆业可园(南区),16平米,https://shenzhen.anjuke.com/community/view/843103,合租,5b16acab898e0a1465a2fa5d,3室1厅,湖西路
3,元/月,2018-06-05 23:30:51.177743,福田,18/23层,景丽花园  南北通透 押一付一 房价透明 交通便利 景田,https://sz.zu.anjuke.com/fangyuan/1161774518,2260,景田,2/3/9号线,https://pic1.ajkimg.com/display/hj/d31640507ee29397ac79d08d8de90be2/240x180m.jpg?t=1,朝北,景丽花园,28平米,https://shenzhen.anjuke.com/community/view/96415,整租,5b16acab898e0a1465a2fa5e,1室1厅,景田东路
4,元/月,2018-06-05 23:30:51.182572,南山,21/23层,众望楼蛋壳公寓直租 智能门锁 干净整洁 月付无压力,https://sz.zu.anjuke.com/fangyuan/1163508394,1420,西丽,5/7号线,https://pic1.ajkimg.com/display/hj/be78a3cedf5b5dfed9bce34ad434b80c/240x180m.jpg?t=1,朝东,众望楼,15平米,https://shenzhen.anjuke.com/community/view/241137,合租,5b16acab898e0a1465a2fa5f,3室1厅,沙河西路3283号
5,元/月,2018-06-05 23:30:51.188208,罗湖,15/17层,雅仕居蛋壳公寓直租 双周保洁 干净整洁 无中介,https://sz.zu.anjuke.com/fangyuan/1161420050,1350,泥岗,3号线,https://pic1.ajkimg.com/display/hj/04a20bef7e93ecb2cb4417462974b882/240x180m.jpg?t=1,朝东,雅仕居,16平米,https://shenzhen.anjuke.com/community/view/96820,合租,5b16acab898e0a1465a2fa60,3室1厅,泥岗东路1108号
6,元/月,2018-06-05 23:30:51.196501,罗湖,26/39层,万象城旁 one39 豪华装修 居住办公皆可,https://sz.zu.anjuke.com/fangyuan/1162112203,5800,蔡屋围,1/2/3/9号线,https://pic1.ajkimg.com/display/hj/59bd7a4a71418128b9fe2e85d2fd304d/240x180m.jpg?t=1,朝南,龙园创展大厦,43平米,https://shenzhen.anjuke.com/community/view/915130,整租,5b16acab898e0a1465a2fa61,1室1厅,宝安南路
7,元/月,2018-06-05 23:30:51.201824,龙岗,16/18层,海航国兴城 住的舒心 家电安全 拎包入住 没有,https://sz.zu.anjuke.com/fangyuan/1159895214,1060,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/4fe19b90906ede0761e83aebf056421f/240x180m.jpg?t=1,朝东,海航国兴城,16平米,https://shenzhen.anjuke.com/community/view/596887,合租,5b16acab898e0a1465a2fa62,3室1厅,碧新路
8,元/月,2018-06-05 23:30:51.206633,深圳周边,19/21层,左庭右院蛋壳公寓直租  干净整洁 月付无压力,https://sz.zu.anjuke.com/fangyuan/1161352053,1160,东莞,Null,https://pic1.ajkimg.com/display/hj/f54ca865d102d8b47e779445229941ca/240x180m.jpg?t=1,朝东,黄旗山1号,18平米,https://shenzhen.anjuke.com/community/view/901553,合租,5b16acab898e0a1465a2fa63,3室1厅,石井支路
9,元/月,2018-06-05 23:30:51.214249,福田,14/19层,沙尾机楼  南北通透 可月付 房价透明 高层电梯 新洲,https://sz.zu.anjuke.com/fangyuan/1161782216,2410,新洲,1/7号线,https://pic1.ajkimg.com/display/hj/7c7501f68d88d272c97dbaf5cfe9f7df/240x180m.jpg?t=1,朝北,沙尾机楼,27平米,https://shenzhen.anjuke.com/community/view/125735,整租,5b16acab898e0a1465a2fa64,1室1厅,沙嘴路36号
