,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:30:32.287906,南山,10/22层,桂庙新村蛋壳公寓直租 双周保洁 环境优美 无中介,https://sz.zu.anjuke.com/fangyuan/1160228039,1590,科技园,2/11号线,https://pic1.ajkimg.com/display/hj/0d7451aa043860e893aa9569fc6e551a/240x180m.jpg?t=1,朝东,桂庙新村,17平米,https://shenzhen.anjuke.com/community/view/842775,合租,5b16ac98898e0a1465a2f867,3室1厅,学府路
1,元/月,2018-06-05 23:30:32.293063,福田,13/18层,中银花园  客厅开阔 无中介 房价透明 拎包即住 莲花,https://sz.zu.anjuke.com/fangyuan/1161784020,2450,莲花,2/3/4号线,https://pic1.ajkimg.com/display/hj/ef4a4a4d0f3e61d5adb3a4fad5e3c9cb/240x180m.jpg?t=1,朝西,中银花园,24平米,https://shenzhen.anjuke.com/community/view/96214,整租,5b16ac98898e0a1465a2f868,1室1厅,福中一路1006号
2,元/月,2018-06-05 23:30:32.303881,龙岗,13/20层,水斗老围综合楼  客厅开阔 无中介 房源 环境优美 坂田,https://sz.zu.anjuke.com/fangyuan/1162270694,1930,坂田,5号线,https://pic1.ajkimg.com/display/hj/5eadf89500201c1985e6dc013659e432/240x180m.jpg?t=1,朝东,水斗老围综合楼,22平米,https://shenzhen.anjuke.com/community/view/844013,合租,5b16ac98898e0a1465a2f869,3室1厅,吉华路
3,元/月,2018-06-05 23:30:32.315136,龙岗,19/21层,邱屋小区蛋壳公寓直租 智能门锁 超大空间 性价比高,https://sz.zu.anjuke.com/fangyuan/1161385229,1330,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/4c38cdc875ef58041ab9763b6b47a566/240x180m.jpg?t=1,朝东,邱屋小区,18平米,https://shenzhen.anjuke.com/community/view/1030180,合租,5b16ac98898e0a1465a2f86a,3室1厅,鹏达路
4,元/月,2018-06-05 23:30:32.319906,福田,13/20层,景田  家具家电全 紧邻地铁站 可月付,https://sz.zu.anjuke.com/fangyuan/1159537708,1980,景田,2/9号线,https://pic1.ajkimg.com/display/hj/74b183efde8106fec9c64a654abd958f/240x180m.jpg?t=1,朝东,香景大厦,19平米,https://shenzhen.anjuke.com/community/view/96057,合租,5b16ac98898e0a1465a2f86b,3室1厅,莲花路2034号
5,元/月,2018-06-05 23:30:32.325928,南山,6/9层,西海湾单身公寓唯一在租，朝南大两房冬暖夏凉，出租,https://sz.zu.anjuke.com/fangyuan/1162687957,5800,南油,2/11号线,https://pic1.ajkimg.com/display/hj/db66e5e15c77d0ed40261912304824e2/240x180m.jpg?t=1,朝南,西海湾公寓,55平米,https://shenzhen.anjuke.com/community/view/171032,整租,5b16ac98898e0a1465a2f86c,2室1厅,创业路
6,元/月,2018-06-05 23:30:32.330848,宝安,5/17层,中商花园蛋壳公寓直租，押一付一，，精装修，,https://sz.zu.anjuke.com/fangyuan/1161346551,1550,宝安中心,1/5号线,https://pic1.ajkimg.com/display/hj/243a61d11bbc1512119e7c2b39b18c61/240x180m.jpg?t=1,朝东,中商花园,17平米,https://shenzhen.anjuke.com/community/view/95067,合租,5b16ac98898e0a1465a2f86d,3室1厅,甲岸路10号
7,元/月,2018-06-05 23:30:32.336158,福田,9/21层,荔园阁一期  精装卧室 押一付一 房价透明 包物业 梅林,https://sz.zu.anjuke.com/fangyuan/1162626765,1780,梅林,4/9号线,https://pic1.ajkimg.com/display/hj/dd9afac3b5a2d9e86fddf5da034eeed0/240x180m.jpg?t=1,朝东,荔园阁一期,18平米,https://shenzhen.anjuke.com/community/view/96024,合租,5b16ac98898e0a1465a2f86e,3室1厅,下梅林西横街
8,元/月,2018-06-05 23:30:32.341136,福田,12/33层,蓝湾半岛精装3房 南北通透 高层视野好 家私全齐 看房方便,https://sz.zu.anjuke.com/fangyuan/1162690161,8600,新洲,7号线,https://pic1.ajkimg.com/display/hj/9302083d30b67331c4db93531027db8e/240x180m.jpg?t=1,朝南,绿景蓝湾半岛,104平米,https://shenzhen.anjuke.com/community/view/98108,整租,5b16ac98898e0a1465a2f86f,3室2厅,福荣路20号
9,元/月,2018-06-05 23:30:32.346109,龙岗,21/23层,锦城星苑  客厅开阔 押一付一 房源 双周保洁 龙岗中心,https://sz.zu.anjuke.com/fangyuan/1162136497,1390,龙岗中心城,Null,https://pic1.ajkimg.com/display/hj/29963077c3b6413f64badaf34f3577b3/240x180m.jpg?t=1,朝东,锦城星苑(一期),16平米,https://shenzhen.anjuke.com/community/view/96703,合租,5b16ac98898e0a1465a2f870,3室1厅,雄丰路2号
10,元/月,2018-06-05 23:30:32.351131,福田,6/15层,"精致装修,保养很好,L型大阳台,高楼层看一线海景,安静舒心！",https://sz.zu.anjuke.com/fangyuan/1158215899,1760,百花,2/3/7号线,https://pic1.ajkimg.com/display/hj/7836f85ca9110bfdf2a5ed7870d50837/240x180m.jpg?t=1,东南,长怡花园,14平米,https://shenzhen.anjuke.com/community/view/96301,合租,5b16ac98898e0a1465a2f871,5室2厅,百花四路59号
11,元/月,2018-06-05 23:30:32.356231,龙华,10/22层,伽乐园  免费WiFi 交通便利 可月付,https://sz.zu.anjuke.com/fangyuan/1162117639,1520,民治,4/5号线,https://pic1.ajkimg.com/display/hj/9ca986a47b576cfb4f340bbd3fe7b27c/240x180m.jpg?t=1,朝东,伽乐园,20平米,https://shenzhen.anjuke.com/community/view/864686,合租,5b16ac98898e0a1465a2f872,3室1厅,水尾二区23号
12,元/月,2018-06-05 23:30:32.361362,罗湖,12/19层,集浩花园蛋壳公寓直租 免费WiFi 随时看房 押一付一,https://sz.zu.anjuke.com/fangyuan/1161514468,1850,怡景,2/3/5号线,https://pic1.ajkimg.com/display/hj/975a3761c5688a6006252c5335f6d98b/240x180m.jpg?t=1,朝东,集浩花园,21平米,https://shenzhen.anjuke.com/community/view/97115,合租,5b16ac98898e0a1465a2f873,3室1厅,华丽路1036号
13,元/月,2018-06-05 23:30:32.365725,罗湖,20/22层,海鹰大厦  南北通透 可月付 房价透明 拎包即住 布心,https://sz.zu.anjuke.com/fangyuan/1162160189,1310,布心,5/7号线,https://pic1.ajkimg.com/display/hj/c7d2e22df5304b0c3bd8baf8648ea0a0/240x180m.jpg?t=1,朝东,海鹰大厦,17平米,https://shenzhen.anjuke.com/community/view/123908,合租,5b16ac98898e0a1465a2f874,3室1厅,东湖路3085号
