,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:24:56.862229,福田,8/12层,东方玫瑰，花园小区，南北通透，价格可谈！ 附两个车位,https://sz.zu.anjuke.com/fangyuan/1161932620,12000,景田,1/2/9/11号线,https://pic1.ajkimg.com/display/hj/035c5d5e9bbf01d427d34d75e83cb6d9/240x180m.jpg?t=1,南北,东方玫瑰花园,142平米,https://shenzhen.anjuke.com/community/view/96008,整租,5b16ab48898e0a1465a2d53f,4室2厅,深南大道
1,元/月,2018-06-05 23:24:56.962791,福田,14/19层,艺丰花园 免费WiFi 紧邻地铁站 可月付 梅林,https://sz.zu.anjuke.com/fangyuan/1161717509,2000,梅林,4/9号线,https://pic1.ajkimg.com/display/hj/e8577658e0a7a4f38729d7d78bc7ec5a/240x180m.jpg?t=1,朝东,艺丰花园(B区),25平米,https://shenzhen.anjuke.com/community/view/97343,整租,5b16ab48898e0a1465a2d540,1室1厅,梅东一路2号
2,元/月,2018-06-05 23:24:56.970657,龙岗,19/21层,中海怡瑞山居蛋壳公寓直租 双周保洁 值得信赖 性价比高,https://sz.zu.anjuke.com/fangyuan/1159901514,1470,丹竹头,5号线,https://pic1.ajkimg.com/display/hj/58d3f67adcf209fca58bcc061e8f93ea/240x180m.jpg?t=1,朝东,中海怡瑞山居,18平米,https://shenzhen.anjuke.com/community/view/96575,合租,5b16ab48898e0a1465a2d541,3室1厅,景芬路
3,元/月,2018-06-05 23:24:56.977308,南山,16/26层,一甲海边新村 直租立减3000  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1160847474,2300,南头,1号线,https://pic1.ajkimg.com/display/hj/144c2b9a213a8405a0c884bda17f2272/240x180m.jpg?t=1,西南,一甲海边新村,16平米,https://shenzhen.anjuke.com/community/view/95621,合租,5b16ab48898e0a1465a2d542,3室1厅,前海路3300号
4,元/月,2018-06-05 23:24:56.982055,宝安,15/22层,宝河大厦蛋壳公寓直租 双周保洁 值得信赖 性价比高,https://sz.zu.anjuke.com/fangyuan/1159900305,1960,新安,5号线,https://pic1.ajkimg.com/display/hj/db7fb4ce8aba6177eec1d09730542d3e/240x180m.jpg?t=1,朝东,宝河大厦,21平米,https://shenzhen.anjuke.com/community/view/95074,合租,5b16ab48898e0a1465a2d543,3室1厅,宝农北巷98号
5,元/月,2018-06-05 23:24:56.987700,龙华,12/19层,潜龙花园蛋壳公寓直租 智能门锁 干净整洁 月付无压力,https://sz.zu.anjuke.com/fangyuan/1160844585,1900,民治,4/5号线,https://pic1.ajkimg.com/display/hj/dc2680cc1bf98cc8f6f6d55f3a8e854f/240x180m.jpg?t=1,朝东,潜龙花园,22平米,https://shenzhen.anjuke.com/community/view/95299,合租,5b16ab48898e0a1465a2d544,3室1厅,民治大道217号
6,元/月,2018-06-05 23:24:56.992095,福田,12/32层,安侨苑酒店式公寓  物业家私齐全 即可,https://sz.zu.anjuke.com/fangyuan/1162688729,9000,农科中心,2/7号线,https://pic1.ajkimg.com/display/hj/1dc6429e1d06e63776c2650da2b168c5/240x180m.jpg?t=1,朝北,安侨苑,90平米,https://shenzhen.anjuke.com/community/view/394268,整租,5b16ab48898e0a1465a2d545,2室1厅,安托山七路
7,元/月,2018-06-05 23:24:56.997994,宝安,11/23层,文华居 房源 家具齐全 紧邻地铁站 押一付一 西乡,https://sz.zu.anjuke.com/fangyuan/1162095772,1580,西乡,1号线,https://pic1.ajkimg.com/display/hj/262a16c6dc22205285ea9128afa7e5c3/240x180m.jpg?t=1,朝东,文华居,17平米,https://shenzhen.anjuke.com/community/view/844239,合租,5b16ab48898e0a1465a2d546,3室1厅,麻布新村一巷1号
8,元/月,2018-06-05 23:24:57.003703,宝安,11/31层,蛋壳公寓热租中，先到先得，好房不等人，家电齐全，拎包入住,https://sz.zu.anjuke.com/fangyuan/1160539015,2236,新安,Null,https://pic1.ajkimg.com/display/hj/93ede7df82136ae2bc15688181291223/240x180m.jpg?t=1,朝东,雅豪轩(弘雅花园三期),23平米,https://shenzhen.anjuke.com/community/view/95018,合租,5b16ab49898e0a1465a2d547,3室1厅,建安一路502号
9,元/月,2018-06-05 23:24:57.007984,盐田,7/16层,东海岸三期，7200元/月，干净整洁，随时入住,https://sz.zu.anjuke.com/fangyuan/1162574912,7200,梅沙,Null,https://pic1.ajkimg.com/display/hj/8326fd1ffb030f513e63d285b101ef23/240x180m.jpg?t=1,东南,万科东海岸,165平米,https://shenzhen.anjuke.com/community/view/97918,整租,5b16ab49898e0a1465a2d548,3室2厅,环碧路
