,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:29:34.579160,龙华,16/28层,依山小筑 蛋壳公寓立减800押一付一 交通便利 短租返现,https://sz.zu.anjuke.com/fangyuan/1159900859,1580,大浪,Null,https://pic1.ajkimg.com/display/hj/3fc07d8fdd8a3c013744b3988e4640bb/240x180m.jpg?t=1,朝南,依山小筑,19平米,https://shenzhen.anjuke.com/community/view/925627,合租,5b16ac5e898e0a1465a2f28b,3室1厅,龙苑大道
1,元/月,2018-06-05 23:29:34.583691,福田,4/18层,坪洲地铁附近 蛋壳公寓直租 押一付一 双周保洁,https://sz.zu.anjuke.com/fangyuan/1159194881,1720,福田中心,1/2/3/4号线,https://pic1.ajkimg.com/display/hj/be6cec204649dbcb392beb18bba5a941/240x180m.jpg?t=1,朝南,金田新村,16平米,https://shenzhen.anjuke.com/community/view/843200,合租,5b16ac5e898e0a1465a2f28c,3室1厅,光夏路
2,元/月,2018-06-05 23:29:34.588003,南山,10/22层,心语雅园 室友无不良嗜好 家具家电全 交通便利 前海,https://sz.zu.anjuke.com/fangyuan/1157878226,1518,前海,Null,https://pic1.ajkimg.com/display/hj/07128315979da72db8d690e049976c84/240x180m.jpg?t=1,朝东,心语雅园,17平米,https://shenzhen.anjuke.com/community/view/130902,合租,5b16ac5e898e0a1465a2f28d,3室1厅,前海路1068号
3,元/月,2018-06-05 23:29:34.595604,南山,6/18层,南新蛋壳公寓直租  超大空间 房价透明,https://sz.zu.anjuke.com/fangyuan/1162629244,1580,前海,11号线,https://pic1.ajkimg.com/display/hj/ee2ab144799037433eb9db41037b33d5/240x180m.jpg?t=1,朝东,南新苑,18平米,https://shenzhen.anjuke.com/community/view/95555,合租,5b16ac5e898e0a1465a2f28e,3室1厅,南新路1845号
4,元/月,2018-06-05 23:29:34.602176,福田,17/24层,新世界家园蛋壳公寓直租  通勤便利 性价比高,https://sz.zu.anjuke.com/fangyuan/1163510959,1920,梅林,4/9号线,https://pic1.ajkimg.com/display/hj/a735286beccd6d889fa26c37b0a0fe7b/240x180m.jpg?t=1,朝东,新世界家园,23平米,https://shenzhen.anjuke.com/community/view/96126,合租,5b16ac5e898e0a1465a2f28f,3室1厅,梅华路
5,元/月,2018-06-05 23:29:34.607061,深圳周边,14/28层,房东招租 豪装 押一付一 家电齐全 拎包入住,https://sz.zu.anjuke.com/fangyuan/1159899286,1540,东莞,Null,https://pic1.ajkimg.com/display/hj/5d911d7f28cc4ed123d5ea0d641f294e/240x180m.jpg?t=1,朝东,万科四季花城,17平米,https://shenzhen.anjuke.com/community/view/788646,合租,5b16ac5e898e0a1465a2f290,3室1厅,蛟坪大道
6,元/月,2018-06-05 23:29:34.611728,龙岗,20/22层,旭景佳园蛋壳公寓直租 智能门锁 通勤便利 无中介,https://sz.zu.anjuke.com/fangyuan/1161422292,1030,坂田,5号线,https://pic1.ajkimg.com/display/hj/24d4496437b4dfc8c6fc9ad519585343/240x180m.jpg?t=1,朝东,旭景佳园(一期),17平米,https://shenzhen.anjuke.com/community/view/844453,合租,5b16ac5e898e0a1465a2f291,3室1厅,坂雪岗大道
7,元/月,2018-06-05 23:29:34.616352,福田,8/21层,紫薇阁  直租 押一付一 拎包入住 立减2200元,https://sz.zu.anjuke.com/fangyuan/1159192640,2200,景田,2/9号线,https://pic1.ajkimg.com/display/hj/483942b5560d1fa9962871e8750cb52f/240x180m.jpg?t=1,南北,紫薇阁,16平米,https://shenzhen.anjuke.com/community/view/96104,合租,5b16ac5e898e0a1465a2f292,3室1厅,景田路106号
8,元/月,2018-06-05 23:29:34.621016,福田,30/50层,上城：刚刚放出来的房源，超高高层一房急出租，家具都齐租1万7,https://sz.zu.anjuke.com/fangyuan/1161506107,17000,莲花,3/4/9号线,https://pic1.ajkimg.com/display/hj/7d3ad17bad46e16dfeef0323a1bb5379/240x180m.jpg?t=1,南北,深业上城,110平米,https://shenzhen.anjuke.com/community/view/605567,整租,5b16ac5e898e0a1465a2f293,1室2厅,笋岗西路
9,元/月,2018-06-05 23:29:34.625817,龙岗,16/18层,中海怡瑞山居 室友无不良嗜好 家具家电全 紧邻地铁站 不是中,https://sz.zu.anjuke.com/fangyuan/1160850510,1450,丹竹头,5号线,https://pic1.ajkimg.com/display/hj/ebb49dbd4707ad37455b6aa49d373a6d/240x180m.jpg?t=1,朝东,中海怡瑞山居,18平米,https://shenzhen.anjuke.com/community/view/96575,合租,5b16ac5e898e0a1465a2f294,3室1厅,景芬路
10,元/月,2018-06-05 23:29:34.631315,龙岗,6/21层,翠薇园 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1160228491,2200,丹竹头,3号线,https://pic1.ajkimg.com/display/hj/cc28cd87741124a48083615f7d41e5c4/240x180m.jpg?t=1,东南,东方半岛花园,18平米,https://shenzhen.anjuke.com/community/view/97322,合租,5b16ac5e898e0a1465a2f295,4室1厅,布龙路2号
11,元/月,2018-06-05 23:29:34.638440,福田,15/33层,新出高层三房，视野无遮挡，家私齐全，一号线地铁口，近欢乐海岸,https://sz.zu.anjuke.com/fangyuan/1161839454,9300,竹子林,1/2/7号线,https://pic1.ajkimg.com/display/hj/8d89d4a17c01669ab655ae9e4f0a1dca/240x180m.jpg?t=1,南北,越海家园,115平米,https://shenzhen.anjuke.com/community/view/96420,整租,5b16ac5e898e0a1465a2f296,3室2厅,紫竹六道
12,元/月,2018-06-05 23:29:34.645586,罗湖,9/19层,花园式小区、成熟小区配套齐全、家私电齐全简单收拾直接拎包入住,https://sz.zu.anjuke.com/fangyuan/1153700087,1700,国贸,2/9号线,https://pic1.ajkimg.com/display/hj/768ba3a155c7d20d344e036326eb6124/240x180m.jpg?t=1,朝南,好运来大厦,16平米,https://shenzhen.anjuke.com/community/view/938252,合租,5b16ac5e898e0a1465a2f297,4室1厅,新安路2号
13,元/月,2018-06-05 23:29:34.654906,龙岗,9/21层,风临四季蛋壳公寓直租 智能门锁 交通便利 押一付一,https://sz.zu.anjuke.com/fangyuan/1161169096,1510,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/09122b493f30f488162108dc8b9993da/240x180m.jpg?t=1,朝东,风临四季,18平米,https://shenzhen.anjuke.com/community/view/96630,合租,5b16ac5e898e0a1465a2f298,3室1厅,鸿基路17号
14,元/月,2018-06-05 23:29:34.660625,福田,10/22层,万科城 良心房东 家具家电全 干净整洁 不是中介,https://sz.zu.anjuke.com/fangyuan/1159901950,1610,景田,2/9号线,https://pic1.ajkimg.com/display/hj/dc13f48b9d1da0188fd6043abfa38232/240x180m.jpg?t=1,朝东,万科城市花园,18平米,https://shenzhen.anjuke.com/community/view/121823,合租,5b16ac5e898e0a1465a2f299,3室1厅,香梅路2038号
15,元/月,2018-06-05 23:29:34.669136,龙华,20/22层,中航阳光新苑蛋壳公寓直租 免费WiFi 随时看房 无中介,https://sz.zu.anjuke.com/fangyuan/1161395095,1000,梅林关口,4/5号线,https://pic1.ajkimg.com/display/hj/4cf73e4ffca6d5a6e230c537190b1623/240x180m.jpg?t=1,朝东,中航阳光新苑,15平米,https://shenzhen.anjuke.com/community/view/95183,合租,5b16ac5e898e0a1465a2f29a,3室1厅,石龙路
16,元/月,2018-06-05 23:29:34.674213,罗湖,22/25层,龙园山庄 房源真实 家具齐全 紧邻地铁站 没有*泥岗,https://sz.zu.anjuke.com/fangyuan/1159801249,1450,泥岗,3号线,https://pic1.ajkimg.com/display/hj/2771d8594968efc6286d86066bb30770/240x180m.jpg?t=1,朝东,龙园山庄,13平米,https://shenzhen.anjuke.com/community/view/97992,合租,5b16ac5e898e0a1465a2f29b,4室1厅,红岗路1299号
17,元/月,2018-06-05 23:29:34.682610,深圳周边,9/19层,万科金域华府  直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1157518117,1500,东莞,Null,https://pic1.ajkimg.com/display/hj/0d7639c22bbb8174efdf086930995bdb/240x180m.jpg?t=1,朝南,万科金域华府,18平米,https://shenzhen.anjuke.com/community/view/903167,合租,5b16ac5e898e0a1465a2f29c,3室1厅,香园路
18,元/月,2018-06-05 23:29:34.689294,龙岗,9/21层,万科里城 室友无不良嗜好 免费WiFi 交通便利  坂田,https://sz.zu.anjuke.com/fangyuan/1159190873,1620,坂田,5号线,https://pic1.ajkimg.com/display/hj/a0c05facc461661e3ae7a1fd4090922f/240x180m.jpg?t=1,朝东,万科里城,18平米,https://shenzhen.anjuke.com/community/view/844203,合租,5b16ac5e898e0a1465a2f29d,3室1厅,南坑北路
19,元/月,2018-06-05 23:29:34.696968,罗湖,15/17层,青湖山庄蛋壳公寓直租，无中介，免费WiFi，精装修，,https://sz.zu.anjuke.com/fangyuan/1158860167,1120,泥岗,3号线,https://pic1.ajkimg.com/display/hj/98485565e8f4f555e0aa6cdf6f4a50ac/240x180m.jpg?t=1,朝东,青湖山庄,16平米,https://shenzhen.anjuke.com/community/view/96954,合租,5b16ac5e898e0a1465a2f29e,3室1厅,红岗路1249号
20,元/月,2018-06-05 23:29:34.717677,龙华,15/17层,民乐新村 住的舒心 免费WiFi 拎包入住可月付 梅林关口,https://sz.zu.anjuke.com/fangyuan/1162121082,1370,梅林关口,4号线,https://pic1.ajkimg.com/display/hj/f387d6f36a24e5ffd64f584624ff40b2/240x180m.jpg?t=1,朝东,民乐新村,15平米,https://shenzhen.anjuke.com/community/view/421500,合租,5b16ac5e898e0a1465a2f29f,3室1厅,梅观路
21,元/月,2018-06-05 23:29:34.723111,福田,12/33层,06年大花园社区，北靠园博园南看海。毗邻竹子林地铁，拎包入住,https://sz.zu.anjuke.com/fangyuan/1162243806,9000,竹子林,1/2/7号线,https://pic1.ajkimg.com/display/hj/93be310f1e02ad050a3413f68fd4c222/240x180m.jpg?t=1,南北,金众香诗美林,91平米,https://shenzhen.anjuke.com/community/view/96149,整租,5b16ac5e898e0a1465a2f2a0,3室2厅,竹子林四路8号
22,元/月,2018-06-05 23:29:34.734739,罗湖,18/23层,金豪花园  近地铁站 无中介 房价透明 随时看房 泥岗,https://sz.zu.anjuke.com/fangyuan/1161738114,2020,泥岗,3号线,https://pic1.ajkimg.com/display/hj/58c3c50e59da0bde4e75d2f4d28dd448/240x180m.jpg?t=1,朝西,金豪花园,28平米,https://shenzhen.anjuke.com/community/view/183784,整租,5b16ac5e898e0a1465a2f2a1,1室1厅,泥岗东路1104号
23,元/月,2018-06-05 23:29:34.742015,福田,10/26层,嘉隆星苑  免费WiFi 紧邻地铁站  香蜜湖,https://sz.zu.anjuke.com/fangyuan/1159894968,2970,香蜜湖,2/9号线,https://pic1.ajkimg.com/display/hj/2105dfce4d1f8f59a99104315d0ea59e/240x180m.jpg?t=1,东北,嘉隆星苑,27平米,https://shenzhen.anjuke.com/community/view/96117,整租,5b16ac5e898e0a1465a2f2a2,1室1厅,香梅路
24,元/月,2018-06-05 23:29:34.746802,南山,15/30层,紧邻海岸城、 科技园 金海岸大厦 精装一房 家私齐全,https://sz.zu.anjuke.com/fangyuan/1163406407,3500,南油,2/11号线,https://pic1.ajkimg.com/display/hj/aef27048eb1f1228d775b6eeaccac6c4/240x180m.jpg?t=1,朝西,金海岸,37平米,https://shenzhen.anjuke.com/community/view/95347,整租,5b16ac5e898e0a1465a2f2a3,1室1厅,创业路9号
25,元/月,2018-06-05 23:29:34.751485,南山,10/17层,星海名城五期 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1161875129,1800,前海,1号线,https://pic1.ajkimg.com/display/hj/8e2fd55e7ba6ef509768f61a5b2eb735/240x180m.jpg?t=1,朝南,星海名城(五期),17平米,https://shenzhen.anjuke.com/community/view/863354,合租,5b16ac5e898e0a1465a2f2a4,3室1厅,前海路
26,元/月,2018-06-05 23:29:34.756025,罗湖,8/17层,海鹰大厦 直租立减2200 直租 押一付一 家具齐全,https://sz.zu.anjuke.com/fangyuan/1159197791,1720,布心,5/7号线,https://pic1.ajkimg.com/display/hj/bad3f09b7b23567d3e76d1807261eb81/240x180m.jpg?t=1,朝南,海鹰大厦,13平米,https://shenzhen.anjuke.com/community/view/123908,合租,5b16ac5e898e0a1465a2f2a5,4室1厅,东湖路3085号
27,元/月,2018-06-05 23:29:34.761315,宝安,12/19层,西乡华侨新村蛋壳公寓直租 免费WiFi 随时看房 无中介,https://sz.zu.anjuke.com/fangyuan/1157375741,1870,西乡,1号线,https://pic1.ajkimg.com/display/hj/3bdd77169e7f4a673aab683794794170/240x180m.jpg?t=1,朝东,西乡华侨新村,20平米,https://shenzhen.anjuke.com/community/view/95141,合租,5b16ac5e898e0a1465a2f2a6,3室1厅,华侨新村西提二巷1号
28,元/月,2018-06-05 23:29:34.765970,罗湖,16/26层,鸿基花园  南北通透 押一付一 *房源 随时看房 草埔,https://sz.zu.anjuke.com/fangyuan/1159784851,1760,草埔,3号线,https://pic1.ajkimg.com/display/hj/4e957b052b533dddce262e0afa136e7a/240x180m.jpg?t=1,朝东,鸿基花园,14平米,https://shenzhen.anjuke.com/community/view/191125,合租,5b16ac5e898e0a1465a2f2a7,4室1厅,金稻田路2053号
29,元/月,2018-06-05 23:29:34.770800,南山,3/22层,栖游记  家具齐全 紧邻地铁站 押一付一 蛇口,https://sz.zu.anjuke.com/fangyuan/1159196472,1567,蛇口,2号线,https://pic1.ajkimg.com/display/hj/13110fdd31eb22b169e5886c046f4858/240x180m.jpg?t=1,朝东,栖游记,17平米,https://shenzhen.anjuke.com/community/view/529860,合租,5b16ac5e898e0a1465a2f2a8,3室1厅,后海大道
30,元/月,2018-06-05 23:29:34.775473,福田,2/32层,车公庙地铁口精装一房，拎包入住，出行便利，配套齐全,https://sz.zu.anjuke.com/fangyuan/1163361499,4800,车公庙,1/7/9/11号线,https://pic1.ajkimg.com/display/hj/2e08a51e56fc1cc012b5da2b3bf58789/240x180m.jpg?t=1,朝南,泰康轩,41平米,https://shenzhen.anjuke.com/community/view/96253,整租,5b16ac5e898e0a1465a2f2a9,1室1厅,泰然四路118号
31,元/月,2018-06-05 23:29:34.780033,南山,16/18层,青春家园蛋壳公寓直租 双周保洁 超大空间 押一付一,https://sz.zu.anjuke.com/fangyuan/1161438142,1110,南油,2/11号线,https://pic1.ajkimg.com/display/hj/a533ccf2c99bab0e5569b9b7b02ac140/240x180m.jpg?t=1,朝东,青春家园,16平米,https://shenzhen.anjuke.com/community/view/95350,合租,5b16ac5e898e0a1465a2f2aa,3室1厅,南海大道2718号
32,元/月,2018-06-05 23:29:34.784685,罗湖,3/22层,翠竹苑 良心房东 家电安全 紧邻地铁站 押一付一,https://sz.zu.anjuke.com/fangyuan/1155819883,1551,田贝,3/5/7号线,https://pic1.ajkimg.com/display/hj/012575142404208f137154a499f278da/240x180m.jpg?t=1,朝东,翠竹苑,18平米,https://shenzhen.anjuke.com/community/view/96886,合租,5b16ac5e898e0a1465a2f2ab,3室1厅,东门北路2057号
33,元/月,2018-06-05 23:29:34.789494,南山,16/18层,南光城市花园蛋壳公寓直租  干净整洁 月付无压力,https://sz.zu.anjuke.com/fangyuan/1161435247,1090,南油,11号线,https://pic1.ajkimg.com/display/hj/bfee092845051020bba3efd4ff334ba4/240x180m.jpg?t=1,朝东,南光城市花园,16平米,https://shenzhen.anjuke.com/community/view/125039,合租,5b16ac5e898e0a1465a2f2ac,3室1厅,创业路98号
34,元/月,2018-06-05 23:29:34.795160,南山,12/24层,麒麟花园 大三房 精装南北通，家电全齐 花园大社区 随时入住,https://sz.zu.anjuke.com/fangyuan/1163374161,9000,南头,1号线,https://pic1.ajkimg.com/display/hj/3b76fde6d81d7006a6c41689dbe7f36a/240x180m.jpg?t=1,南北,麒麟花园,118平米,https://shenzhen.anjuke.com/community/view/843736,整租,5b16ac5e898e0a1465a2f2ad,3室2厅,玉泉路3号
35,元/月,2018-06-05 23:29:34.800057,罗湖,13/17层,罗湖布心地铁 新楼 宝丰苑两房 精装带家具 独立厨卫 光线足,https://sz.zu.anjuke.com/fangyuan/1159350522,8800,布心,5/7号线,https://pic1.ajkimg.com/display/hj/6b80a9dfd8da51e6bace988e822a3be9/240x180m.jpg?t=1,东南,宝丰苑,118平米,https://shenzhen.anjuke.com/community/view/842286,整租,5b16ac5e898e0a1465a2f2ae,3室2厅,金稻田路
36,元/月,2018-06-05 23:29:34.809225,南山,15/22层,松坪村梅苑 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1156741646,1900,科技园,7号线,https://pic1.ajkimg.com/display/hj/16f5431ee361b1debc018eb38abd041f/240x180m.jpg?t=1,朝南,松坪村梅苑,18平米,https://shenzhen.anjuke.com/community/view/844051,合租,5b16ac5e898e0a1465a2f2af,3室1厅,松坪山路14号
37,元/月,2018-06-05 23:29:34.816940,罗湖,4/7层,温馨提示！西湖小区4房2厅 住家可合租员工宿舍,https://sz.zu.anjuke.com/fangyuan/1163407018,7500,蔡屋围,3/7/9号线,https://pic1.ajkimg.com/display/hj/8a5be2f96d826573df969a86381c42ed/240x180m.jpg?t=1,朝东,西湖大厦,120平米,https://shenzhen.anjuke.com/community/view/915473,整租,5b16ac5e898e0a1465a2f2b0,4室2厅,宝安南路3070号
38,元/月,2018-06-05 23:29:34.824244,宝安,19/21层,西岸观邸蛋壳公寓直租 家具齐全 超大空间 无中介,https://sz.zu.anjuke.com/fangyuan/1160228385,1380,宝安中心,1/5号线,https://pic1.ajkimg.com/display/hj/60835cb98aa6dcf5fe1b2c4e687000c8/240x180m.jpg?t=1,朝东,西岸观邸,17平米,https://shenzhen.anjuke.com/community/view/95060,合租,5b16ac5e898e0a1465a2f2b1,3室1厅,甲岸路6号
39,元/月,2018-06-05 23:29:34.832815,福田,24/33层,七街公馆，婚房装修出租，业主搬家南山，家私齐全直接住,https://sz.zu.anjuke.com/fangyuan/1159286552,6500,景田,2/9号线,https://pic1.ajkimg.com/display/hj/771cec3bee952939c9812403c1e7461e/240x180m.jpg?t=1,西南,七街公馆,66平米,https://shenzhen.anjuke.com/community/view/910106,整租,5b16ac5e898e0a1465a2f2b2,2室1厅,北环大道7045号
40,元/月,2018-06-05 23:29:34.840444,龙华,13/20层,上丰花园蛋壳公寓直租 智能门锁 干净整洁 无中介,https://sz.zu.anjuke.com/fangyuan/1158857423,1850,民治,4号线,https://pic1.ajkimg.com/display/hj/e60112e7bf4db8fa724bc46fd856bd95/240x180m.jpg?t=1,朝东,上丰花园,22平米,https://shenzhen.anjuke.com/community/view/424118,合租,5b16ac5e898e0a1465a2f2b3,3室1厅,新区大道507-1号
41,元/月,2018-06-05 23:29:34.848027,宝安,10/15层,百佳华佳华名苑 蛋壳公寓直租 押一付一 0 拎包入住,https://sz.zu.anjuke.com/fangyuan/1160851138,2400,宝安中心,1/5/11号线,https://pic1.ajkimg.com/display/hj/9bf53566c38fea8242593d79d6c17e09/240x180m.jpg?t=1,东南,深业新岸线,18平米,https://shenzhen.anjuke.com/community/view/97634,合租,5b16ac5e898e0a1465a2f2b4,1室1厅,兴业路
42,元/月,2018-06-05 23:29:34.853328,福田,12/17层,坪洲地铁附近小区房出租 押一付一 无,https://sz.zu.anjuke.com/fangyuan/1159194940,2000,福田中心,1/2/3/4号线,https://pic1.ajkimg.com/display/hj/c161cac0847f0d36c10600a7cfd28a8a/240x180m.jpg?t=1,朝南,恒运豪庭(风华盛世),16平米,https://shenzhen.anjuke.com/community/view/96244,合租,5b16ac5e898e0a1465a2f2b5,4室1厅,福华三路
